ID,STREAMS,REGION
ARG,489535075.0,Argentina
AUS,428533880.0,Australia
AUT,67627207.0,Austria
BEL,95212786.0,Belgium
BGR,6481742.0,Bulgaria
BOL,35439892.0,Bolivia
BRA,1299821349.0,Brazil
CAN,446176452.0,Canada
CHE,83993926.0,Switzerland
CHL,442999703.0,Chile
COL,152501827.0,Colombia
CRI,48474193.0,Costa Rica
CZE,53124393.0,Czech Republic
DEU,877671078.0,Germany
DNK,156622639.0,Denmark
DOM,30222746.0,Dominican Republic
ECU,69577137.0,Ecuador
ESP,589320020.0,Spain
EST,6931399.0,Estonia
FIN,84368800.0,Finland
FRA,501217087.0,France
GBR,834668538.0,England
GRC,43490291.0,Greece
GTM,65405109.0,Guatemala
HND,23276246.0,Honduras
HUN,40616776.0,Hungary
IDN,380239077.0,Indonesia
IRL,98864542.0,Ireland
ISR,51935026.0,Israel
ITA,434615265.0,Italy
JPN,380046114.0,Japan
LTU,9722148.0,Lithuania
LUX,1839070.0,Luxembourg
LVA,8795635.0,Latvia
MEX,1080979022.0,Mexico
MYS,79327106.0,Malaysia
NIC,10467885.0,Nicaragua
NLD,370475955.0,Netherlands
NOR,167027244.0,Norway
NZL,90605239.0,New Zealand
PAN,27902360.0,Panama
PER,192515670.0,Peru
PHL,358913271.0,Philippines
POL,230994193.0,Poland
PRT,59015745.0,Portugal
PRY,70235764.0,Paraguay
ROU,23756212.0,Romania
SLV,32272679.0,El Salvador
SVK,20031964.0,Slovakia
SWE,309520142.0,Sweden
THA,110336916.0,Thailand
TUR,338020337.0,Turkey
TWN,84958658.0,Taiwan
URY,33557506.0,Uruguay
USA,2783308132.0,USA
VNM,57257255.0,Vietnam
,,Global
